date,new_Cases,new_deaths,new_tests
2020-04-21,2256.0,454.0,28095.0
2020-04-22,2729.0,534.0,44248.0
2020-04-23,3370.0,437.0,37083.0
2020-04-24,2646.0,464.0,95273.0
2020-04-25,3021.0,345.0,33455.0
2020-04-26,4355.0,344.0,43555.0
2020-04-27,5434.0,544.0,54333.0
2020-04-28,5644.0,765.0,56432.0
2020-04-29,67543.,543.0,34554.0
2020-04-30,76543.0,654.0,67543.0
2020-05-01,76543.0,765.0,76543.0
2020-05-02,5643.0,453.0,54323.0
2020-05-03,4532.0,453.0,54544.0
2020-05-04,6543.0,765.0,76543.0
2020-05-04,7654.0,543.0,54222.0
